month,company,taxi_fleet
2005-01,Comfort,9952
2005-01,CityCab,4965
2005-01,SMRT,2441
2005-01,YTC,1223
2005-01,Individual Yellow- Top,696
2005-01,Smart,320
2005-01,TransCab,560
2005-01,Premier,370
2005-02,Comfort,10046
2005-02,CityCab,4968
2005-02,SMRT,2628
2005-02,YTC,1199
2005-02,Individual Yellow- Top,695
2005-02,Smart,330
2005-02,TransCab,610
2005-02,Premier,375
2005-03,Comfort,10083
2005-03,CityCab,4919
2005-03,SMRT,3004
2005-03,YTC,1166
2005-03,Individual Yellow- Top,692
2005-03,Smart,370
2005-03,TransCab,710
2005-03,Premier,396
2005-04,Comfort,10133
2005-04,CityCab,4814
2005-04,SMRT,3003
2005-04,YTC,1141
2005-04,Individual Yellow- Top,684
2005-04,Smart,405
2005-04,TransCab,810
2005-04,Premier,410
2005-05,Comfort,10145
2005-05,CityCab,4849
2005-05,SMRT,3004
2005-05,YTC,1106
2005-05,Individual Yellow- Top,678
2005-05,Smart,440
2005-05,TransCab,910
2005-05,Premier,420
2005-06,Comfort,10182
2005-06,CityCab,4853
2005-06,SMRT,3038
2005-06,YTC,1090
2005-06,Individual Yellow- Top,678
2005-06,Smart,460
2005-06,TransCab,1060
2005-06,Premier,520
2005-07,Comfort,10172
2005-07,CityCab,4865
2005-07,SMRT,3060
2005-07,YTC,999
2005-07,Individual Yellow- Top,662
2005-07,Smart,500
2005-07,TransCab,1171
2005-07,Premier,595
2005-08,Comfort,10195
2005-08,CityCab,4884
2005-08,SMRT,3028
2005-08,YTC,935
2005-08,Individual Yellow- Top,653
2005-08,Smart,506
2005-08,TransCab,1240
2005-08,Premier,700
2005-09,Comfort,10226
2005-09,CityCab,4883
2005-09,SMRT,3005
2005-09,YTC,905
2005-09,Individual Yellow- Top,659
2005-09,Smart,505
2005-09,TransCab,1314
2005-09,Premier,770
2005-10,Comfort,10057
2005-10,CityCab,4730
2005-10,SMRT,3017
2005-10,YTC,831
2005-10,Individual Yellow- Top,656
2005-10,Smart,505
2005-10,TransCab,1393
2005-10,Premier,870
2005-11,Comfort,9974
2005-11,CityCab,4736
2005-11,SMRT,3017
2005-11,YTC,809
2005-11,Individual Yellow- Top,654
2005-11,Smart,505
2005-11,TransCab,1451
2005-11,Premier,960
2005-12,Comfort,10146
2005-12,CityCab,4723
2005-12,SMRT,2858
2005-12,YTC,984
2005-12,Individual Yellow- Top,648
2005-12,Smart,605
2005-12,TransCab,1480
2005-12,Premier,1029
2006-01,Comfort,10171
2006-01,CityCab,4730
2006-01,SMRT,2813
2006-01,YTC,883
2006-01,Individual Yellow- Top,647
2006-01,Smart,613
2006-01,TransCab,1515
2006-01,Premier,1090
2006-02,Comfort,10164
2006-02,CityCab,4729
2006-02,SMRT,2729
2006-02,YTC,876
2006-02,Individual Yellow- Top,644
2006-02,Smart,623
2006-02,TransCab,1515
2006-02,Premier,1115
2006-03,Comfort,10053
2006-03,CityCab,4713
2006-03,SMRT,2658
2006-03,YTC,846
2006-03,Individual Yellow- Top,641
2006-03,Smart,655
2006-03,TransCab,1585
2006-03,Premier,1154
2006-04,Comfort,10095
2006-04,CityCab,4301
2006-04,SMRT,2659
2006-04,YTC,783
2006-04,Individual Yellow- Top,634
2006-04,Smart,655
2006-04,TransCab,1621
2006-04,Premier,1225
2006-05,Comfort,10160
2006-05,CityCab,4301
2006-05,SMRT,2677
2006-05,YTC,767
2006-05,Individual Yellow- Top,627
2006-05,Smart,655
2006-05,TransCab,1642
2006-05,Premier,1295
2006-06,Comfort,10195
2006-06,CityCab,4300
2006-06,SMRT,2684
2006-06,YTC,795
2006-06,Individual Yellow- Top,612
2006-06,Smart,655
2006-06,TransCab,1660
2006-06,Premier,1325
2006-07,Comfort,10173
2006-07,CityCab,4294
2006-07,SMRT,2700
2006-07,YTC,819
2006-07,Individual Yellow- Top,603
2006-07,Smart,655
2006-07,TransCab,1673
2006-07,Premier,1350
2006-08,Comfort,10212
2006-08,CityCab,4294
2006-08,SMRT,2755
2006-08,YTC,818
2006-08,Individual Yellow- Top,576
2006-08,Smart,685
2006-08,TransCab,1806
2006-08,Premier,1515
2006-09,Comfort,10304
2006-09,CityCab,4294
2006-09,SMRT,3019
2006-09,YTC,815
2006-09,Individual Yellow- Top,591
2006-09,Smart,755
2006-09,TransCab,2040
2006-09,Premier,1728
2006-10,Comfort,10279
2006-10,CityCab,4292
2006-10,SMRT,3018
2006-10,YTC,810
2006-10,Individual Yellow- Top,589
2006-10,Smart,755
2006-10,TransCab,2040
2006-10,Premier,1752
2006-11,Comfort,10156
2006-11,CityCab,4251
2006-11,SMRT,3018
2006-11,YTC,795
2006-11,Individual Yellow- Top,586
2006-11,Smart,755
2006-11,TransCab,2040
2006-11,Premier,1781
2006-12,Comfort,10126
2006-12,CityCab,4237
2006-12,SMRT,3017
2006-12,YTC,791
2006-12,Individual Yellow- Top,585
2006-12,Smart,755
2006-12,TransCab,2040
2006-12,Premier,1783
2007-01,Comfort,10149
2007-01,CityCab,4234
2007-01,SMRT,3008
2007-01,YTC,784
2007-01,Individual Yellow- Top,578
2007-01,Smart,755
2007-01,TransCab,2040
2007-01,Premier,1799
2007-01,Prime,0
2007-02,Comfort,10155
2007-02,CityCab,4232
2007-02,SMRT,2994
2007-02,YTC,775
2007-02,Individual Yellow- Top,574
2007-02,Smart,755
2007-02,TransCab,2040
2007-02,Premier,1797
2007-02,Prime,0
2007-03,Comfort,10196
2007-03,CityCab,4175
2007-03,SMRT,2992
2007-03,YTC,759
2007-03,Individual Yellow- Top,561
2007-03,Smart,755
2007-03,TransCab,2040
2007-03,Premier,1837
2007-03,Prime,0
2007-04,Comfort,10293
2007-04,CityCab,4170
2007-04,SMRT,2991
2007-04,YTC,729
2007-04,Individual Yellow- Top,552
2007-04,Smart,755
2007-04,TransCab,2040
2007-04,Premier,1874
2007-04,Prime,0
2007-05,Comfort,10274
2007-05,CityCab,4117
2007-05,SMRT,3016
2007-05,YTC,587
2007-05,Individual Yellow- Top,542
2007-05,Smart,755
2007-05,TransCab,2039
2007-05,Premier,1923
2007-05,Prime,0
2007-06,Comfort,10343
2007-06,CityCab,4102
2007-06,SMRT,3014
2007-06,YTC,587
2007-06,Individual Yellow- Top,532
2007-06,Smart,756
2007-06,TransCab,2039
2007-06,Premier,1975
2007-06,Prime,0
2007-07,Comfort,10417
2007-07,CityCab,4101
2007-07,SMRT,3008
2007-07,YTC,579
2007-07,Individual Yellow- Top,523
2007-07,Smart,756
2007-07,TransCab,2039
2007-07,Premier,2026
2007-07,Prime,0
2007-08,Comfort,10525
2007-08,CityCab,4094
2007-08,SMRT,3008
2007-08,YTC,573
2007-08,Individual Yellow- Top,523
2007-08,Smart,757
2007-08,TransCab,2069
2007-08,Premier,2090
2007-08,Prime,0
2007-09,Comfort,10631
2007-09,CityCab,4106
2007-09,SMRT,3007
2007-09,YTC,509
2007-09,Individual Yellow- Top,523
2007-09,Smart,759
2007-09,TransCab,2099
2007-09,Premier,2207
2007-09,Prime,19
2007-10,Comfort,11186
2007-10,CityCab,3965
2007-10,SMRT,3003
2007-10,YTC,0
2007-10,Individual Yellow- Top,509
2007-10,Smart,759
2007-10,TransCab,2099
2007-10,Premier,2265
2007-10,Prime,33
2007-11,Comfort,11250
2007-11,CityCab,3962
2007-11,SMRT,3002
2007-11,YTC,0
2007-11,Individual Yellow- Top,504
2007-11,Smart,761
2007-11,TransCab,2119
2007-11,Premier,2309
2007-11,Prime,56
2007-12,Comfort,11594
2007-12,CityCab,3977
2007-12,SMRT,3002
2007-12,YTC,0
2007-12,Individual Yellow- Top,505
2007-12,Smart,761
2007-12,TransCab,2139
2007-12,Premier,2376
2007-12,Prime,92
